"","colony","location","vid","day","date","time","zt","frame","fa_count"
"1",11,"fa","GH010498",1,2019-11-27,"12pm",18,5,41
"2",11,"fa","GH010498",1,2019-11-27,"12:30pm",18.5,35,41
"3",11,"fa","GH010498",1,2019-11-27,"1pm",19,65,44
"4",11,"fa","GH010498",1,2019-11-27,"1:30pm",19.5,95,42
"5",11,"fa","GH010498",1,2019-11-27,"2pm",20,125,23
"6",11,"fa","GH010498",1,2019-11-27,"2:30pm",20.5,155,29
"7",11,"fa","GH010498",1,2019-11-27,"3pm",21,185,31
"8",11,"fa","GH010498",1,2019-11-27,"3:30pm",21.5,215,23
"9",11,"fa","GH010498",1,2019-11-27,"4pm",22,245,19
"10",11,"fa","GH010498",1,2019-11-27,"4:30pm",22.5,275,18
"11",11,"fa","GH010498",1,2019-11-27,"5pm",23,305,15
"12",11,"fa","GH010498",1,2019-11-27,"5:30pm",23.5,335,26
"13",11,"fa","GH010498",1,2019-11-27,"6pm",0,365,20
"14",11,"fa","GH010498",1,2019-11-27,"6:30pm",0.5,395,19
"15",11,"fa","GH010498",1,2019-11-27,"7pm",1,425,19
"16",11,"fa","GH010498",1,2019-11-27,"7:30pm",1.5,455,16
"17",11,"fa","GH010498",1,2019-11-27,"8pm",2,485,17
"18",11,"fa","GH010498",1,2019-11-27,"8:30pm",2.5,515,16
"19",11,"fa","GH010498",1,2019-11-27,"9pm",3,545,20
"20",11,"fa","GH010498",1,2019-11-27,"9:30pm",3.5,575,23
"21",11,"fa","GH010498",1,2019-11-27,"10pm",4,605,10
"22",11,"fa","GH010498",1,2019-11-27,"10:30pm",4.5,635,21
"23",11,"fa","GH010498",1,2019-11-27,"11pm",5,665,15
"24",11,"fa","GH010498",1,2019-11-27,"11:30pm",5.5,695,14
"25",11,"fa","GH010498",1,2019-11-28,"12am",6,725,12
"26",11,"fa","GH010498",1,2019-11-28,"12:30am",6.5,755,11
"27",11,"fa","GH010498",1,2019-11-28,"1am",7,785,13
"28",11,"fa","GH010498",1,2019-11-28,"1:30am",7.5,815,17
"29",11,"fa","GH010498",1,2019-11-28,"2am",8,845,12
"30",11,"fa","GH010498",1,2019-11-28,"2:30am",8.5,875,20
"31",11,"fa","GH010498",1,2019-11-28,"3am",9,905,15
"32",11,"fa","GH010498",1,2019-11-28,"3:30am",9.5,935,23
"33",11,"fa","GH010498",1,2019-11-28,"4am",10,965,18
"34",11,"fa","GH010498",1,2019-11-28,"4:30am",10.5,995,17
"35",11,"fa","GH010498",1,2019-11-28,"5am",11,1025,35
"36",11,"fa","GH010498",1,2019-11-28,"5:30am",11.5,1055,24
"37",11,"fa","GH010498",1,2019-11-28,"6am",12,1085,34
"38",11,"fa","GH010498",1,2019-11-28,"6:30am",12.5,1115,31
"39",11,"fa","GH010498",1,2019-11-28,"7am",13,1145,41
"40",11,"fa","GH010498",1,2019-11-28,"7:30am",13.5,1175,35
"41",11,"fa","GH010498",1,2019-11-28,"8am",14,1205,45
"42",11,"fa","GH010498",1,2019-11-28,"8:30am",14.5,1235,32
"43",11,"fa","GH010498",1,2019-11-28,"9am",15,1265,22
"44",11,"fa","GH010498",1,2019-11-28,"9:30am",15.5,1295,31
"45",11,"fa","GH010498",1,2019-11-28,"10am",16,1325,21
"46",11,"fa","GH010498",1,2019-11-28,"10:30am",16.5,1355,28
"47",11,"fa","GH010498",1,2019-11-28,"11am",17,1385,19
"48",11,"fa","GH010498",1,2019-11-28,"11:30am",17.5,1415,27
"49",11,"fa","GH010498",2,2019-11-28,"12pm",18,1445,23
"50",11,"fa","GH010498",2,2019-11-28,"12:30pm",18.5,1475,28
"51",11,"fa","GH010498",2,2019-11-28,"1pm",19,1505,23
"52",11,"fa","GH010498",2,2019-11-28,"1:30pm",19.5,1535,18
"53",11,"fa","GH010498",2,2019-11-28,"2pm",20,1565,16
"54",11,"fa","GH010498",2,2019-11-28,"2:30pm",20.5,1595,9
"55",11,"fa","GH010498",2,2019-11-28,"3pm",21,1625,9
"56",11,"fa","GH010498",2,2019-11-28,"3:30pm",21.5,1655,10
"57",11,"fa","GH010498",2,2019-11-28,"4pm",22,1685,12
"58",11,"fa","GH010498",2,2019-11-28,"4:30pm",22.5,1715,8
"59",11,"fa","GH010498",2,2019-11-28,"5pm",23,1745,6
"60",11,"fa","GH010498",2,2019-11-28,"5:30pm",23.5,1775,18
"61",11,"fa","GH010498",2,2019-11-28,"6pm",0,1805,19
"62",11,"fa","GH010498",2,2019-11-28,"6:30pm",0.5,1835,16
"63",11,"fa","GH010498",2,2019-11-28,"7pm",1,1865,18
"64",11,"fa","GH010498",2,2019-11-28,"7:30pm",1.5,1895,13
"65",11,"fa","GH010498",2,2019-11-28,"8pm",2,1925,10
"66",11,"fa","GH010498",2,2019-11-28,"8:30pm",2.5,1955,9
"67",11,"fa","GH010498",2,2019-11-28,"9pm",3,1985,6
"68",11,"fa","GH010498",2,2019-11-28,"9:30pm",3.5,2015,11
"69",11,"fa","GH010498",2,2019-11-28,"10pm",4,2045,10
"70",11,"fa","GH010498",2,2019-11-28,"10:30pm",4.5,2075,10
"71",11,"fa","GH010498",2,2019-11-28,"11pm",5,2105,9
"72",11,"fa","GH010498",2,2019-11-28,"11:30pm",5.5,2135,11
"73",11,"fa","GH010498",2,2019-11-29,"12am",6,2165,13
"74",11,"fa","GH010498",2,2019-11-29,"12:30am",6.5,2195,11
"75",11,"fa","GH010498",2,2019-11-29,"1am",7,2225,14
"76",11,"fa","GH010498",2,2019-11-29,"1:30am",7.5,2255,8
"77",11,"fa","GH010498",2,2019-11-29,"2am",8,2285,14
