"","colony","location","vid","day","date","time","zt","frame","section","maze_count"
"1",11,"maze","GH010060",1,2019-11-27,"12pm",18,5,"e",1
"2",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"aa",1
"3",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"bb",1
"4",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"2",1
"5",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"a",1
"6",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"cc",1
"7",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"m",2
"8",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"13",1
"9",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"n",1
"10",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"l",1
"11",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"10",1
"12",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"s",1
"13",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"m",1
"14",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"f",1
"15",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"o",1
"16",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"e",1
"17",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"8",1
"18",11,"maze","GH010060",1,2019-11-27,"12:30pm",18.5,35,"ff",2
"19",11,"maze","GH010060",1,2019-11-27,"1pm",19,65,"aa",1
"20",11,"maze","GH010060",1,2019-11-27,"1pm",19,65,"i",1
"21",11,"maze","GH010060",1,2019-11-27,"1pm",19,65,"2",1
"22",11,"maze","GH010060",1,2019-11-27,"1pm",19,65,"a",2
"23",11,"maze","GH010060",1,2019-11-27,"1pm",19,65,"l",2
"24",11,"maze","GH010060",1,2019-11-27,"1pm",19,65,"10",1
"25",11,"maze","GH010060",1,2019-11-27,"1pm",19,65,"ff",1
"26",11,"maze","GH010060",1,2019-11-27,"1pm",19,65,"c",1
"27",11,"maze","GH010060",1,2019-11-27,"1:30pm",19.5,95,"m",1
"28",11,"maze","GH010060",1,2019-11-27,"1:30pm",19.5,95,"13",1
"29",11,"maze","GH010060",1,2019-11-27,"1:30pm",19.5,95,"l",1
"30",11,"maze","GH010060",1,2019-11-27,"1:30pm",19.5,95,"p",1
"31",11,"maze","GH010060",1,2019-11-27,"1:30pm",19.5,95,"t",2
"32",11,"maze","GH010060",1,2019-11-27,"1:30pm",19.5,95,"8",1
"33",11,"maze","GH010060",1,2019-11-27,"1:30pm",19.5,95,"d",1
"34",11,"maze","GH010060",1,2019-11-27,"2pm",20,125,"aa",3
"35",11,"maze","GH010060",1,2019-11-27,"2pm",20,125,"m",2
"36",11,"maze","GH010060",1,2019-11-27,"2pm",20,125,"l",1
"37",11,"maze","GH010060",1,2019-11-27,"2pm",20,125,"5",1
"38",11,"maze","GH010060",1,2019-11-27,"2pm",20,125,"k",1
"39",11,"maze","GH010060",1,2019-11-27,"2pm",20,125,"d",4
"40",11,"maze","GH010060",1,2019-11-27,"2:30pm",20.5,155,"aa",2
"41",11,"maze","GH010060",1,2019-11-27,"2:30pm",20.5,155,"e",1
"42",11,"maze","GH010060",1,2019-11-27,"2:30pm",20.5,155,"u",3
"43",11,"maze","GH010060",1,2019-11-27,"2:30pm",20.5,155,"8",1
"44",11,"maze","GH010060",1,2019-11-27,"2:30pm",20.5,155,"d",4
"45",11,"maze","GH010060",1,2019-11-27,"3pm",21,185,"a",1
"46",11,"maze","GH010060",1,2019-11-27,"3pm",21,185,"m",1
"47",11,"maze","GH010060",1,2019-11-27,"3pm",21,185,"v",1
"48",11,"maze","GH010060",1,2019-11-27,"3pm",21,185,"p",2
"49",11,"maze","GH010060",1,2019-11-27,"3pm",21,185,"s",1
"50",11,"maze","GH010060",1,2019-11-27,"3pm",21,185,"o",1
"51",11,"maze","GH010060",1,2019-11-27,"3pm",21,185,"u",1
"52",11,"maze","GH010060",1,2019-11-27,"3pm",21,185,"8",1
"53",11,"maze","GH010060",1,2019-11-27,"3pm",21,185,"d",1
"54",11,"maze","GH010060",1,2019-11-27,"3pm",21,185,"ff",1
"55",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"aa",3
"56",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"a",1
"57",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"cc",1
"58",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"i",1
"59",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"j",1
"60",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"l",1
"61",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"p",1
"62",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"k",2
"63",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"t",1
"64",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"ff",1
"65",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"c",2
"66",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"r",4
"67",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"8",1
"68",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"d",4
"69",11,"maze","GH010060",1,2019-11-27,"3:30pm",21.5,215,"e",1
"70",11,"maze","GH010060",1,2019-11-27,"4pm",22,245,"aa",3
"71",11,"maze","GH010060",1,2019-11-27,"4pm",22,245,"b",1
"72",11,"maze","GH010060",1,2019-11-27,"4pm",22,245,"ff",1
"73",11,"maze","GH010060",1,2019-11-27,"4pm",22,245,"t",1
"74",11,"maze","GH010060",1,2019-11-27,"4pm",22,245,"o",6
"75",11,"maze","GH010060",1,2019-11-27,"4pm",22,245,"9",1
"76",11,"maze","GH010060",1,2019-11-27,"4pm",22,245,"d",4
"77",11,"maze","GH010060",1,2019-11-27,"5pm",23,305,"i",1
"78",11,"maze","GH010060",1,2019-11-27,"5pm",23,305,"ff",1
"79",11,"maze","GH010060",1,2019-11-27,"5pm",23,305,"t",1
"80",11,"maze","GH010060",1,2019-11-27,"5pm",23,305,"c",1
"81",11,"maze","GH010060",1,2019-11-27,"5pm",23,305,"d",1
"82",11,"maze","GH010060",1,2019-11-27,"5pm",23,305,"r",1
"83",11,"maze","GH010060",1,2019-11-27,"5pm",23,305,"v",1
"84",11,"maze","GH010060",1,2019-11-27,"5pm",23,305,"f",1
"85",11,"maze","GH010060",1,2019-11-27,"5pm",23,305,"p",1
"86",11,"maze","GH010060",1,2019-11-27,"5:30pm",23.5,335,"t",1
"87",11,"maze","GH010060",1,2019-11-27,"5:30pm",23.5,335,"p",4
"88",11,"maze","GH010060",1,2019-11-27,"5:30pm",23.5,335,"s",1
"89",11,"maze","GH010060",1,2019-11-27,"6pm",12,365,"a",1
"90",11,"maze","GH010060",1,2019-11-27,"6pm",12,365,"cc",1
"91",11,"maze","GH010060",1,2019-11-27,"6pm",12,365,"j",1
"92",11,"maze","GH010060",1,2019-11-27,"6pm",12,365,"t",1
"93",11,"maze","GH010060",1,2019-11-27,"6pm",12,365,"c",1
"94",11,"maze","GH010060",1,2019-11-27,"6pm",12,365,"e",2
"95",11,"maze","GH010060",1,2019-11-27,"6pm",12,365,"ff",4
"96",11,"maze","GH010060",1,2019-11-27,"6:30pm",0.5,395,"3",1
"97",11,"maze","GH010060",1,2019-11-27,"6:30pm",0.5,395,"ff",1
"98",11,"maze","GH010060",1,2019-11-27,"6:30pm",0.5,395,"k",1
"99",11,"maze","GH010060",1,2019-11-27,"6:30pm",0.5,395,"c",2
"100",11,"maze","GH010060",1,2019-11-27,"6:30pm",0.5,395,"10",1
"101",11,"maze","GH010060",1,2019-11-27,"6:30pm",0.5,395,"o",1
"102",11,"maze","GH010060",1,2019-11-27,"6:30pm",0.5,395,"9",1
"103",11,"maze","GH010060",1,2019-11-27,"7pm",1,425,"aa",1
"104",11,"maze","GH010060",1,2019-11-27,"7pm",1,425,"m",4
"105",11,"maze","GH010060",1,2019-11-27,"7pm",1,425,"6",1
"106",11,"maze","GH010060",1,2019-11-27,"7pm",1,425,"7",1
